customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
8270-DDDDD,Female,0,Yes,Yes,6,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),117.25,703.5,No
1860-CCCCC,Male,0,No,Yes,58,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),50.98,2956.84,Yes
6191-EEEEE,Male,0,No,No,44,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Electronic check,92.3,4061.2,No
6734-BBBBB,Female,0,No,Yes,45,Yes,Yes,DSL,Yes,No,No,No,Yes,No,One year,Yes,Electronic check,72.22,3249.9,Yes
1466-CCCCC,Male,0,No,No,32,No,No phone service,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),60.82,1946.24,No
6578-EEEEE,Female,0,No,No,45,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),83.99,3779.55,No
9322-EEEEE,Male,0,Yes,No,61,No,No phone service,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),73.88,4506.68,No
1769-DDDDD,Female,0,No,No,47,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,No,Mailed check,101.54,4772.38,No
7949-BBBBB,Female,1,Yes,No,21,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),106.34,2233.14,No
6311-DDDDD,Female,0,Yes,No,36,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Mailed check,115.73,4166.28,No
7420-AAAAA,Male,1,Yes,Yes,19,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),81.31,1544.89,No
5555-BBBBB,Male,0,No,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,23.07,461.4,No
7396-DDDDD,Female,0,Yes,No,57,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),105.96,6039.72,No
9666-CCCCC,Male,0,Yes,No,18,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),77.0,1386.0,No
3558-BBBBB,Female,0,No,No,47,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.72,879.84,No
